"cluster","count_sim.x","count_pop.x","ecletic","media_pop","propNov","count_sim.y","count_pop.y"
"1",-0.0461997940841618,0.142137967247365,0.476971408391676,-0.472503183421638,1.03498691316902,-0.356407965693117,0.491754825551374
"2",-0.895905157085801,0.592675933353466,-0.079703424553229,-1.644155590524,-0.611137080924483,-0.583905111223588,0.430931524039907
"3",-0.908261674490813,-0.501754800831894,-0.205093421404503,0.2237146789026,-0.350863097949444,0.311171693119024,-0.0445798660670482
"4",0.0363068437544007,-0.0204153016398224,1.52464410630687,-0.392835145784344,-0.323925023497563,-0.510522560691403,0.0648151018423594
"5",-0.0466351776222566,0.324480046477065,-0.213537830950674,0.515351013106379,-0.321707990931266,-0.572175719608242,-0.521107358941987
"6",0.521248048335867,-0.00272742112505463,-0.719768175729554,0.719438956623122,0.295140441802305,1.03189367220577,0.562955077080505
"7",0.880874050028565,-0.644521932066925,-0.478325039632475,-0.730726030844539,-0.467594847960713,-0.109643566499465,-0.342214555616939
"8",-0.0351453886048277,-0.0211261977518878,-0.467484901586448,0.279334355901917,1.3455129156681,0.21233557189222,-0.752372957430351
"9",0.76512045508607,1.18258034859637,0.152413867375119,0.420943099276477,-0.656676002644696,-0.139556472351492,0.528177942864808
